year,importer_name,export_value,exporter_name,import_value
2018,Jamaica,2621185929.0,Jamaica,641108095.0000001
2018,Japan,75611988576.0,Japan,138971049626.0
2018,Jordan,1580921141.0,Jordan,1877249647.0
2018,Kazakhstan,1040197944.0,Kazakhstan,1440454773.0
2018,Kenya,250536390.0,Kenya,602695391.0
2018,Kiribati,1880198.0,Kiribati,3198483.0
2018,Kuwait,3043179544.0,Kuwait,1992718519.0
2018,Kyrgyzstan,92427631.0,Kyrgyzstan,8157590.0
2018,Laos,23442634.0,Laos,142750600.0
2018,Latvia,368801558.0,Latvia,700877478.0
2018,Lebanon,1480990631.0,Lebanon,98806139.0
2018,Lesotho,7244203.0,Lesotho,399848644.0
2018,Liberia,185617729.0,Liberia,65295684.00000001
2018,Libya,238006660.0,Libya,1447307962.0
2018,Lithuania,686036866.0,Lithuania,1381563427.0
2018,Luxembourg,1043430175.0,Luxembourg,521914786.0
2018,Macau,320202168.0,Macau,51094670.0
2018,Madagascar,133588694.0,Madagascar,762282373.0
2018,Malawi,14111924.0,Malawi,58409641.0
2018,Malaysia,13931120727.0,Malaysia,35149879499.0
2018,Maldives,47640761.0,Maldives,33413830.0
2018,Mali,120564741.0,Mali,23632415.0
2018,Malta,262888741.0,Malta,209520850.0
2018,Marshall Islands,258003479.0,Marshall Islands,11984643.0
2018,Mauritania,86485417.0,Mauritania,6490612.0
2018,Mauritius,171651961.0,Mauritius,357037308.0
2018,Mexico,254152819601.0,Mexico,340051922013.0
2018,Micronesia,37715119.0,Micronesia,783747.0
2018,Moldova,11649295.0,Moldova,57249349.0
2018,Mongolia,205553009.0,Mongolia,9805006.0
2018,Montenegro,71772861.0,Montenegro,2097694.0
2018,Montserrat,10570974.0,Montserrat,802089.0
2018,Morocco,4027454432.0,Morocco,1620399901.0
2018,Mozambique,263242306.00000003,Mozambique,130313122.0
2018,Namibia,163557179.0,Namibia,126520312.0
2018,Nauru,760618.0,Nauru,2676563.0
2018,Nepal,34476971.0,Nepal,102587594.0
2018,Netherlands,45082741827.0,Netherlands,22112133515.0
2018,New Caledonia,50369696.0,New Caledonia,56377267.00000001
2018,New Zealand,3970787253.0,New Zealand,3992065311.0
2018,Nicaragua,1781479217.0,Nicaragua,3045176194.0
2018,Niger,117220170.0,Niger,33489195.0
2018,Nigeria,2473783024.0,Nigeria,5720083433.0
2018,Niue,1193223.0,Niue,334731.0
2018,Norfolk Island,179163.0,Norfolk Island,740131.0
2018,North Macedonia,228698306.0,North Macedonia,309452973.0
2018,Norway,5793755195.0,Norway,6296110869.0
2018,Oman,1225415405.0,Oman,1157518465.0
2018,Pakistan,3331069858.0,Pakistan,3845582090.0
2018,Palau,49124982.0,Palau,1194446.0
2018,Palestine,2593081.0,Palestine,3872096.0
2018,Panama,6366727651.0,Panama,2328048338.0
2018,Papua New Guinea,73558068.0,Papua New Guinea,83586779.0
2018,Paraguay,1312354510.0,Paraguay,135916060.0
2018,Peru,9321293080.0,Peru,8131644783.0
2018,Philippines,8338667068.0,Philippines,12704469541.0
2018,Pitcairn Islands,80179.0,Pitcairn Islands,7265.0
2018,Poland,5245037288.0,Poland,7572538775.0
2018,Portugal,1678703461.0,Portugal,3874631085.0
2018,Qatar,2417500967.0,Qatar,1543703288.0
2018,Republic of the Congo,106943388.00000001,Republic of the Congo,472841088.0
2018,Romania,1097245930.0,Romania,2439299866.0
2018,Russia,9286433420.0,Russia,17903262424.0
2018,Rwanda,42599659.0,Rwanda,49736351.0
2018,Saint Helena,687587.0,Saint Helena,13962654.0
2018,Saint Kitts and Nevis,181049357.0,Saint Kitts and Nevis,40349301.0
2018,Saint Lucia,534356153.0,Saint Lucia,8027955.000000001
2018,Saint Martin,631861005.0,Saint Martin,2218220.0
2018,Saint Pierre and Miquelon,112317.0,Saint Pierre and Miquelon,9604.0
2018,Saint Vincent and the Grenadines,67271550.0,Saint Vincent and the Grenadines,5099632.0
2018,Samoa,29531162.0,Samoa,7263485.0
2018,San Marino,1539844.0,San Marino,11870969.0
2018,Sao Tome and Principe,1963043.0,Sao Tome and Principe,693699.0000000001
2018,Saudi Arabia,12528203634.0,Saudi Arabia,24372629767.0
2018,Senegal,274774699.0,Senegal,125051376.0
2018,Serbia,371974802.0,Serbia,308200942.0
2018,Seychelles,20614857.0,Seychelles,10980997.0
2018,Sierra Leone,67955970.0,Sierra Leone,56392081.0
2018,Singapore,31782131072.0,Singapore,23244158948.0
2018,Slovakia,588013591.0,Slovakia,3856405840.0
2018,Slovenia,856612648.0,Slovenia,771640127.0
2018,Solomon Islands,6220531.0,Solomon Islands,4299911.0
2018,Somalia,47194855.0,Somalia,1312929.0
2018,South Africa,5287012720.0,South Africa,7354226705.0
2018,South Korea,56903148099.0,South Korea,73110078018.0
2018,South Sudan,22879672.0,South Sudan,15594.0
2018,Spain,14291238770.0,Spain,16644839384.0
2018,Sri Lanka,358566573.0,Sri Lanka,2778749042.0
2018,Sudan,154784957.0,Sudan,20177497.0
2018,Suriname,342174215.0,Suriname,77534096.0
2018,Sweden,4548891064.0,Sweden,11661860858.0
2018,Switzerland,20760648772.0,Switzerland,34307256256.0
2018,Syria,5275415.0,Syria,5275491.0
2018,Tajikistan,13982142.0,Tajikistan,612822.0
2018,Tanzania,243671109.0,Tanzania,199520775.0
2018,Thailand,13415663277.0,Thailand,30633036373.0
2018,Timor-Leste,1393660.0,Timor-Leste,7562026.0
2018,Togo,668547941.0,Togo,12335200.0
2018,Tokelau,3370079.0,Tokelau,4768521.0
2018,Tonga,19021106.0,Tonga,3546520.0
2018,Trinidad and Tobago,1894271407.0,Trinidad and Tobago,3707230703.0
2018,Tunisia,768430042.0,Tunisia,638095836.0
2018,Turkey,11889412918.0,Turkey,9304155786.0
2018,Turkmenistan,28443507.0,Turkmenistan,8557593.0
2018,Turks and Caicos Islands,203001642.0,Turks and Caicos Islands,3624288.0
2018,Tuvalu,1213006.0,Tuvalu,51554.00000000001
2018,Uganda,108765629.0,Uganda,54176092.0
2018,Ukraine,2158773344.0,Ukraine,1387167228.0
2018,United Arab Emirates,18912519369.0,United Arab Emirates,5794171970.0
2018,United Kingdom,55618352454.0,United Kingdom,59798084228.0
2018,Uruguay,886959920.0,Uruguay,466178573.0
2018,Uzbekistan,312074966.0,Uzbekistan,8949874.0
2018,Vanuatu,6033390.0,Vanuatu,7343931.0
2018,Venezuela,5973515152.0,Venezuela,13502612840.0
2018,Vietnam,10295176383.0,Vietnam,49203451665.0
2018,Wallis and Futuna,1021123.0,Wallis and Futuna,15719.999999999998
2018,Yemen,248885468.0,Yemen,2193773.0
2018,Zambia,185990183.0,Zambia,158046242.0
2018,Zimbabwe,50114620.0,Zimbabwe,77354979.0
2019,Afghanistan,596059191.0,Afghanistan,35880247.0
2019,Albania,84994056.0,Albania,54163710.0
2019,Algeria,975288842.0,Algeria,2543972303.0
2019,Andorra,3285451.0,Andorra,12101401.999999998
2019,Angola,654250958.0,Angola,1037674446.0
2019,Anguilla,76746777.0,Anguilla,2009660.0
2019,Antigua and Barbuda,401120587.0,Antigua and Barbuda,4199629.0
2019,Argentina,6626917191.0,Argentina,4558018094.0
2019,Armenia,129990753.0,Armenia,65009213.0
2019,Aruba,478437690.0,Aruba,7601356.0
2019,Australia,25178511975.0,Australia,10546997963.0
2019,Austria,6698597211.0,Austria,12322081374.0
2019,Azerbaijan,577035537.0,Azerbaijan,26370519.0
2019,Bahamas,2948383404.0,Bahamas,222136000.0
