,Group,Sampled Products,url
52,Paper and Paper Products,Toilet Paper,https://upload.wikimedia.org/wikipedia/commons/b/b3/Bidet_Ego_Kolo.jpg
53,Paper and Paper Products,Paper Containers,https://upload.wikimedia.org/wikipedia/commons/f/fd/Calpis_karupisu.JPG
55,Paper and Paper Products,Business forms,https://upload.wikimedia.org/wikipedia/commons/2/2a/Benefit_corporation_laws_in_the_United_States.svg
56,Paper and Paper Products,Brochures,https://upload.wikimedia.org/wikipedia/commons/5/54/The_Ladies%27_home_journal_%281948%29_%2814785694143%29.jpg
57,Paper and Paper Products,Maps,https://upload.wikimedia.org/wikipedia/commons/a/a4/Map_of_USA_with_state_and_territory_names_2.png
50,Paper and Paper Products,Tissue,https://upload.wikimedia.org/wikipedia/commons/a/af/Schweinebauch-1.jpg
59,"Plastics, Rubber, and Articles Thereof",Plastics,https://upload.wikimedia.org/wikipedia/commons/8/8f/Hemdchentuete.jpg
60,"Plastics, Rubber, and Articles Thereof",Plastic Pipes,https://upload.wikimedia.org/wikipedia/commons/c/ca/Polyethylene_Pipe_lengths.jpg
62,"Plastics, Rubber, and Articles Thereof",Plastic bottles and flasks,https://upload.wikimedia.org/wikipedia/commons/0/0d/PET_Bottle_Water.jpg
63,"Plastics, Rubber, and Articles Thereof",Plastic boxes,https://upload.wikimedia.org/wikipedia/commons/6/69/Have_a_Nice_Day%21_styrofoam_food_container.JPG
64,"Plastics, Rubber, and Articles Thereof",Synthetic Rubber,https://upload.wikimedia.org/wikipedia/commons/f/f7/Butyl_rubber_gloves.JPG
65,"Plastics, Rubber, and Articles Thereof",Rubber Pipes,https://upload.wikimedia.org/wikipedia/en/c/c1/American_Horror_Stories_Title_Logo.jpeg
66,"Plastics, Rubber, and Articles Thereof",Tyres,https://upload.wikimedia.org/wikipedia/commons/c/c4/Apollo_Tyres_Ltd_%26_A_Lock_up_stacked_Black_RGB_L.png
67,"Plastics, Rubber, and Articles Thereof",Rubber surgical gloves,https://upload.wikimedia.org/wikipedia/commons/c/cf/USMC-120719-M-BC491-224.jpg
68,"Raw Hides, Skins, Leather, and Furs",Sheep skins,https://upload.wikimedia.org/wikipedia/commons/6/60/Sheep_skin_for_sale.jpg
